1971	20	3.68	0.15	0.614804965	0.062	0.57
1972	23	4.23	0.04	0.818668047	0.091	0.46
1973	24	4.41	0.29	0.760416667	0.09	0.27
1974	31	5.7	0.32	0.599037917	0.093	0.48
1975	41	7.54	0.07	0.645426829	0.139	0.24
1976	44	8.09	-0.23	0.56267618	0.139	0.29
1977	34	6.25	0.18	0.298202614	0.064	0.23
1978	40	7.35	0.08	0.506944444	0.144	0.06
1979	43	7.9	0.16	0.387442741	0.117	0.39
1980	50	9.19	-0.4	0.329943503	0.126	0.21
1981	30	5.51	-0.53	0.217261905	0.051	0.21
1982	14	2.57	0.64	0.869047619	0.094	0.29
1983	23	4.23	0.04	0.393821931	0.065	0.22
1984	24	4.41	-0.08	0.440241228	0.068	0.17
1985	22	4.04	-0.09	0.456630525	0.062	0.24
1986	20	3.68	-0.2	0.67019774	0.079	0.33
1987	16	2.94	-0.25	0.549189815	0.05	0.2
1988	12	2.21	0	0.864109848	0.056	0.32
1989	12	2.21	0.25	0.809652278	0.046	0.59
1990	15	2.76	-0.2	0.856874189	0.059	0.48
1991	12	2.21	0	1.028909465	0.05	0.59
1992	12	2.21	0.08	1.428406998	0.061	0.55
1993	13	2.39	0.31	0.877403846	0.038	0.27
1994	17	3.13	-0.06	0.792100694	0.04	0.64
1995	16	2.94	0.38	1.391198891	0.063	0.53
1996	22	4.04	0.09	1.274167562	0.07	0.53
1997	24	4.41	-0.42	0.637665968	0.102	0.41
1998	14	2.57	0.79	0.802197802	0.073	0.45
1999	25	4.6	0.16	0.631203008	0.095	0.4
2000	29	5.33	-0.34	0.474480022	0.08	0.6
2001	19	3.49	-0.11	0.876670844	0.089	0.64
2002	17	3.13	0.12	1.1385918	0.106	0.4
2003	19	3.49	0.53	0.727671451	0.092	0.27
